component_type,machine_id,temperature,vibration,pressure,motor_current,production_speed,defect_count,humidity,torque,sensor_accuracy,risk_level
Airbag,M-684,62.53,2.88,60.48,26.7,51.06,0,40.82,175.13,81.3,0
Steering,M-348,47.16,1.45,195.88,6.11,50.59,0,46.44,86.23,91.76,0
Seat Belt,M-777,70.87,4.11,156.62,18.58,52.77,1,50.32,102.73,94.97,0
Airbag,M-439,85.71,0.44,172.03,8.2,135.59,2,69.48,369.12,87.91,0
Airbag,M-669,50.93,1.17,146.83,10.87,134.86,0,43.55,265.53,94.87,0
Occupant Safety,M-773,43.33,2.85,204.82,28.69,153.47,0,74.52,316.41,87.81,0
Airbag,M-284,34.31,4.97,135.03,24.83,180.36,3,75.49,259.68,86.91,0
Airbag,M-663,74.21,3.4,140.01,28.69,83.16,1,34.2,160.51,97.91,0
Occupant Safety,M-898,87.77,4.93,65.98,7.62,115.8,6,65.35,227.35,83.34,2
Seat Belt,M-515,57.66,3.15,128.4,45.81,148.94,3,21.7,98.47,83.96,0
Occupant Safety,M-483,57.85,4.5,161.61,37.61,105.33,2,33.65,353.94,86.94,0
Occupant Safety,M-276,57.14,4.7,189.55,15.82,97.95,1,70.65,262.41,93.83,0
Occupant Safety,M-280,43.22,3.96,143.59,38.61,114.93,2,40.17,331.29,91.19,0
Airbag,M-942,38.77,3.34,147.88,5.58,188.42,2,54.39,340.4,95.02,0
Airbag,M-324,96.78,3.89,226.46,8.24,136.87,6,75.55,254.84,99.88,1
Occupant Safety,M-304,50.85,3.29,91.21,12.05,106.47,4,29.08,350.29,82.14,0
Occupant Safety,M-253,79.67,1.27,52.65,7.39,188.41,0,66.99,381.45,94.0,0
Seat Belt,M-728,30.71,4.27,223.7,31.81,98.48,3,64.6,203.36,83.53,0
Occupant Safety,M-650,82.98,4.27,153.55,49.99,163.13,6,20.95,242.26,92.96,2
Seat Belt,M-843,65.07,3.7,78.14,36.27,140.38,1,58.97,135.7,88.73,0
Airbag,M-303,73.99,3.57,69.6,46.04,188.93,4,73.54,151.58,80.44,0
Occupant Safety,M-940,45.52,2.47,178.65,7.44,196.98,0,45.51,236.5,80.19,0
Steering,M-135,35.57,2.87,186.97,20.14,152.85,0,55.45,147.36,82.27,0
Occupant Safety,M-934,52.58,0.25,225.91,38.58,68.22,0,69.44,55.31,93.38,0
Seat Belt,M-393,78.45,0.68,195.66,35.13,149.32,0,68.69,175.07,95.08,0
Seat Belt,M-308,75.18,0.61,164.9,23.39,92.92,0,33.91,312.2,99.66,0
Airbag,M-892,53.44,0.82,72.49,14.12,62.11,0,71.83,146.9,83.89,0
Seat Belt,M-194,28.58,4.37,146.58,27.81,107.83,2,22.06,122.79,85.37,0
Airbag,M-888,83.59,1.33,86.72,8.73,84.76,2,88.54,202.75,94.25,0
Seat Belt,M-654,44.3,3.4,232.68,15.63,71.13,4,73.28,345.31,83.79,0
Airbag,M-968,79.69,1.57,231.57,46.49,166.87,2,32.13,332.48,88.07,0
Occupant Safety,M-472,61.91,1.87,221.16,13.14,55.82,0,21.46,287.11,93.48,0
Airbag,M-403,61.92,3.9,180.71,43.27,187.19,6,59.25,230.82,92.46,1
Occupant Safety,M-392,58.54,0.44,218.79,10.39,78.97,0,40.29,313.3,80.88,0
Occupant Safety,M-643,71.6,3.79,120.5,5.89,163.56,2,64.37,248.31,80.22,0
Airbag,M-997,99.94,3.84,92.69,47.61,143.87,9,76.28,204.38,99.57,2
Steering,M-383,40.57,0.66,222.01,42.38,151.1,2,30.34,78.65,82.16,0
Occupant Safety,M-358,88.25,2.83,116.33,18.83,55.33,2,52.04,248.2,82.22,0
Steering,M-180,95.0,1.78,114.6,15.53,75.75,1,65.82,345.66,97.2,0
Steering,M-548,86.3,3.87,120.38,46.01,95.57,6,80.28,219.0,86.34,2
Steering,M-415,37.77,2.72,109.77,22.67,154.64,0,59.45,65.69,95.87,0
Steering,M-592,97.93,3.47,174.6,25.37,51.57,6,52.32,332.22,94.45,1
Seat Belt,M-281,55.24,1.45,113.83,8.08,189.93,0,32.18,286.79,81.8,0
Seat Belt,M-195,43.61,3.5,220.2,45.92,108.86,6,77.39,326.1,81.44,1
Airbag,M-896,59.36,1.0,152.53,19.04,55.58,0,70.08,300.79,82.36,0
Seat Belt,M-221,74.56,1.62,183.93,43.69,65.87,2,88.66,293.13,88.45,0
Occupant Safety,M-896,61.46,4.94,59.44,38.08,121.95,1,28.54,232.4,87.11,0
Seat Belt,M-866,51.42,4.77,75.57,36.44,174.43,4,60.5,373.19,87.95,0
Seat Belt,M-985,78.68,2.04,110.19,11.94,121.73,0,55.47,307.9,92.94,0
Seat Belt,M-691,63.79,1.79,73.99,28.3,52.09,0,38.21,132.01,95.58,0
Seat Belt,M-301,25.61,3.67,116.46,14.79,51.12,2,31.59,298.53,84.33,0
Seat Belt,M-571,86.79,2.11,241.59,45.93,184.24,6,46.97,315.54,96.86,2
Airbag,M-223,47.45,4.41,167.54,25.8,64.53,1,33.86,115.72,81.78,0
Airbag,M-613,37.7,4.95,212.5,10.01,98.0,4,79.09,340.72,90.54,0
Steering,M-343,32.54,1.69,138.38,48.79,118.98,1,59.28,301.72,85.07,0
Steering,M-840,92.0,4.76,166.1,45.89,166.84,9,28.51,229.67,87.68,2
Occupant Safety,M-495,53.61,1.52,241.03,17.71,75.31,0,51.13,254.76,90.43,0
Steering,M-185,34.32,3.02,124.8,25.32,101.78,2,38.82,292.59,86.61,0
Steering,M-468,36.46,1.16,215.4,47.24,151.78,2,56.63,165.57,99.63,0
Airbag,M-103,31.62,3.29,189.74,22.78,146.07,1,35.07,220.89,98.57,0
Seat Belt,M-295,25.18,3.59,91.99,8.59,127.71,1,24.13,93.94,98.23,0
Seat Belt,M-335,25.06,0.2,95.04,38.5,93.95,0,74.29,91.15,99.82,0
Seat Belt,M-247,64.62,3.67,148.01,41.19,140.59,5,25.18,156.65,85.53,0
Steering,M-999,90.7,3.2,196.09,40.29,171.99,7,60.15,173.51,94.58,2
Seat Belt,M-135,33.89,2.93,91.42,33.81,119.83,0,47.23,108.06,99.46,0
Seat Belt,M-265,71.23,2.29,182.29,33.93,160.15,0,55.18,72.82,94.33,0
Seat Belt,M-550,63.15,1.03,245.35,16.95,168.59,0,45.67,237.43,91.33,0
Airbag,M-537,30.61,3.87,238.1,7.18,179.6,2,69.05,385.19,96.78,0
Occupant Safety,M-644,67.28,1.17,119.54,8.99,197.04,0,84.32,178.66,98.22,0
Steering,M-786,52.09,0.88,248.89,47.94,60.64,3,28.63,208.09,88.09,0
Occupant Safety,M-542,69.24,3.49,179.69,19.87,191.58,4,22.18,220.96,90.7,0
Occupant Safety,M-433,26.03,3.87,73.15,28.66,132.7,3,31.33,136.02,88.71,0
Airbag,M-655,91.79,1.06,67.32,16.3,62.75,1,76.9,113.57,98.74,0
Occupant Safety,M-508,29.84,2.78,165.4,25.15,165.4,0,55.76,129.58,97.42,0
Airbag,M-832,67.72,1.45,128.77,14.42,176.42,0,28.07,263.22,86.81,0
Steering,M-380,48.93,2.31,206.77,29.11,181.5,0,76.57,209.79,83.21,0
Airbag,M-616,46.27,2.21,141.26,27.64,124.62,0,45.76,113.57,94.7,0
Steering,M-493,81.11,1.72,66.88,30.44,67.17,2,27.43,310.99,86.2,0
Steering,M-372,25.08,2.12,145.42,24.77,91.17,0,63.79,308.86,98.16,0
Occupant Safety,M-308,52.13,4.05,71.9,11.66,117.71,2,39.76,347.57,99.93,0
Seat Belt,M-919,88.27,2.08,100.05,22.24,79.92,1,63.95,129.94,84.61,0
Occupant Safety,M-720,66.99,3.18,247.66,17.24,145.09,2,25.47,186.1,80.69,0
Seat Belt,M-300,95.29,4.93,176.17,32.03,196.79,5,75.94,207.33,99.24,1
Seat Belt,M-543,70.6,2.63,59.56,7.14,87.65,0,60.65,361.74,91.28,0
Steering,M-704,54.94,1.1,132.68,24.75,68.68,0,60.2,337.8,88.42,0
Airbag,M-978,33.75,4.06,112.5,5.97,96.72,4,33.22,139.45,85.62,0
Seat Belt,M-257,45.71,3.21,134.78,49.65,183.21,4,41.17,289.89,95.95,0
Airbag,M-561,87.08,2.89,194.91,29.28,122.04,2,86.67,171.03,82.37,0
Airbag,M-763,77.89,4.19,237.55,46.0,120.87,6,24.83,77.36,82.9,2
Occupant Safety,M-327,38.57,3.36,72.18,38.65,156.04,2,82.0,356.17,84.15,0
Occupant Safety,M-848,55.94,1.03,228.21,36.57,192.0,0,25.98,294.6,90.13,0
Seat Belt,M-834,79.56,0.9,138.28,27.54,135.57,0,23.42,170.24,84.93,0
Airbag,M-992,96.79,2.47,56.32,45.72,152.49,4,22.1,113.11,81.36,1
Airbag,M-488,95.03,3.52,184.74,16.84,54.69,5,65.97,72.92,88.27,0
Occupant Safety,M-922,93.21,2.8,212.33,41.83,56.59,5,37.85,261.15,97.56,1
Steering,M-221,92.66,0.55,172.1,41.37,126.43,3,36.78,102.05,99.73,1
Airbag,M-709,29.14,0.5,207.23,46.49,71.85,3,31.67,148.39,93.37,0
Steering,M-874,58.46,0.59,68.94,42.75,181.43,1,26.14,319.58,88.05,0
Airbag,M-753,79.11,2.51,131.0,36.83,56.6,0,90.0,50.1,95.18,0
Steering,M-547,62.84,1.51,146.64,40.23,95.96,3,60.77,124.44,96.05,0
Seat Belt,M-526,69.91,0.81,244.88,28.93,150.96,0,73.23,329.76,97.52,0
Steering,M-648,55.32,0.65,186.07,26.81,119.41,0,89.52,185.44,91.2,0
Airbag,M-613,72.03,4.14,70.88,37.61,116.55,3,36.52,225.97,83.93,0
Steering,M-891,44.66,3.1,132.82,27.15,133.17,2,63.2,199.71,91.39,0
Airbag,M-392,47.65,2.41,198.08,23.53,75.57,0,84.86,240.66,92.79,0
Seat Belt,M-850,78.88,3.35,133.38,38.69,148.32,3,80.17,386.08,88.7,0
Seat Belt,M-680,99.33,1.31,231.31,34.94,120.43,1,34.79,298.82,94.02,0
Seat Belt,M-539,43.21,1.0,101.68,18.13,155.65,0,36.89,294.94,82.71,0
Airbag,M-854,50.25,2.54,79.21,12.74,125.57,0,42.6,368.55,87.83,0
Airbag,M-163,34.28,3.39,119.67,21.16,50.75,4,22.34,143.6,91.24,0
Airbag,M-400,70.74,1.96,101.96,42.62,100.92,2,51.76,337.96,82.38,0
Steering,M-121,90.4,2.68,54.16,24.52,76.89,3,51.78,98.66,95.04,0
Steering,M-963,37.73,0.68,177.35,36.88,172.17,0,66.23,387.68,83.44,0
Occupant Safety,M-790,34.8,0.73,150.89,36.66,198.68,0,58.95,247.25,97.49,0
Occupant Safety,M-362,49.45,1.98,96.6,45.32,164.58,1,54.53,227.09,88.73,0
Steering,M-481,59.47,2.85,80.23,39.86,55.8,0,75.54,264.01,93.19,0
Occupant Safety,M-976,35.64,3.97,247.13,26.38,111.59,1,21.9,376.56,98.27,0
Seat Belt,M-491,30.17,3.28,230.49,6.04,157.21,4,20.18,93.78,94.73,0
Seat Belt,M-312,49.65,1.06,70.4,41.36,199.0,3,34.04,193.87,91.36,0
Occupant Safety,M-405,37.53,0.29,149.25,38.39,164.72,0,26.51,272.85,85.81,0
Occupant Safety,M-360,99.87,3.62,69.73,25.06,88.26,6,73.93,250.28,88.56,1
Occupant Safety,M-402,30.98,4.18,201.08,11.15,163.86,4,30.74,167.9,95.48,0
Steering,M-126,90.03,4.85,88.6,36.95,58.26,7,79.45,171.32,85.31,2
Occupant Safety,M-348,26.1,1.08,175.34,48.43,162.0,1,66.7,123.25,92.68,0
Steering,M-450,97.17,1.17,120.86,30.74,90.86,1,73.49,249.2,85.86,0
Occupant Safety,M-167,97.94,4.78,197.58,42.97,51.69,6,61.37,235.93,88.42,2
Seat Belt,M-623,60.92,4.6,109.14,6.25,155.48,4,40.62,177.77,85.84,0
Steering,M-742,61.18,3.94,195.67,11.11,183.79,4,64.02,139.72,86.31,0
Airbag,M-419,80.98,4.96,109.33,44.73,139.16,4,36.65,249.97,82.92,2
Steering,M-966,88.52,4.68,67.59,13.39,165.73,3,69.96,119.74,86.33,1
Seat Belt,M-963,54.09,4.37,208.66,42.08,172.71,3,75.68,64.8,83.34,1
Steering,M-233,98.05,2.48,204.04,40.94,87.61,6,34.95,329.85,89.83,2
Steering,M-370,42.1,4.79,169.23,45.09,133.44,6,79.3,335.84,87.42,2
Seat Belt,M-874,27.47,4.0,141.07,23.21,182.81,1,36.41,185.55,95.73,0
Airbag,M-315,64.06,3.11,241.57,30.65,126.95,2,70.79,92.92,81.77,0
Airbag,M-772,64.73,1.98,226.69,11.93,84.98,0,69.72,107.39,96.86,0
Seat Belt,M-358,46.93,4.12,153.34,26.01,68.5,3,23.89,105.18,89.23,0
Airbag,M-338,83.21,0.41,91.51,30.48,106.36,1,38.78,378.75,95.53,0
Seat Belt,M-812,74.44,2.43,235.59,23.23,125.68,0,27.42,94.64,87.44,0
Airbag,M-626,89.86,0.56,170.59,18.77,106.81,2,20.48,147.54,91.0,0
Seat Belt,M-558,77.37,1.52,121.79,6.21,88.96,0,81.92,161.39,83.01,0
Occupant Safety,M-933,65.43,4.56,121.62,24.07,176.2,1,80.32,212.34,91.13,0
Steering,M-742,72.43,4.74,157.33,19.6,53.5,1,61.65,383.38,99.65,0
Seat Belt,M-766,46.19,3.73,207.11,29.21,75.19,3,72.44,136.36,99.62,0
Steering,M-761,89.19,3.72,120.95,38.72,152.01,5,72.72,393.94,92.43,0
Seat Belt,M-509,58.05,3.05,111.8,38.39,113.6,2,72.0,174.43,94.41,0
Occupant Safety,M-517,28.36,1.19,52.39,49.62,132.43,3,67.45,382.6,88.95,0
Seat Belt,M-832,91.17,2.12,155.42,22.34,182.05,1,65.18,115.63,96.85,0
Steering,M-425,82.13,4.52,81.54,29.6,188.45,4,35.05,329.63,83.62,1
Occupant Safety,M-456,33.29,0.94,102.13,31.25,161.27,0,83.99,196.71,84.81,0
Airbag,M-869,45.79,1.59,95.61,42.5,169.46,1,30.22,371.78,83.0,0
Occupant Safety,M-234,76.48,4.84,94.37,5.75,60.69,1,81.08,304.97,98.95,0
Steering,M-485,33.41,1.93,159.11,13.32,106.21,0,33.84,158.34,94.33,0
Seat Belt,M-569,75.98,3.25,83.27,38.27,77.85,2,49.87,329.77,86.19,0
Steering,M-887,30.6,4.79,246.57,34.81,130.3,2,25.78,360.87,80.56,0
Steering,M-813,51.44,2.64,188.96,35.77,178.64,0,42.57,127.32,98.01,0
Seat Belt,M-878,36.95,1.76,246.78,38.06,85.31,0,74.38,239.78,88.15,0
Steering,M-202,47.03,2.4,248.68,49.72,96.39,2,33.97,145.52,95.8,0
Occupant Safety,M-575,84.65,4.23,86.3,20.23,56.91,6,75.04,206.91,85.61,2
Seat Belt,M-179,80.1,2.49,206.8,48.42,77.64,4,34.58,209.0,84.59,1
Steering,M-180,74.55,2.54,200.68,19.22,164.58,0,37.96,87.96,94.76,0
Occupant Safety,M-900,99.6,4.0,117.27,31.85,148.73,4,66.42,378.67,85.29,0
Seat Belt,M-160,47.69,4.58,76.07,8.1,75.42,2,67.11,72.11,96.36,0
Steering,M-332,35.18,2.55,237.24,29.18,64.46,0,64.06,183.04,95.94,0
Occupant Safety,M-492,84.76,0.26,50.6,39.94,188.49,1,33.19,252.69,83.16,0
Airbag,M-267,40.1,1.29,215.42,34.68,134.58,0,47.14,87.19,80.82,0
Steering,M-632,98.7,4.02,76.85,24.45,176.69,7,70.56,381.18,83.86,2
Steering,M-700,44.39,4.65,245.46,31.64,167.25,4,56.8,292.16,80.73,0
Seat Belt,M-369,56.44,4.26,84.2,14.21,193.67,1,66.92,141.76,85.99,0
Seat Belt,M-517,33.71,1.3,128.21,43.35,87.34,2,53.6,324.25,94.95,0
Occupant Safety,M-280,53.12,0.35,248.9,8.16,180.36,0,42.43,338.31,90.71,0
Seat Belt,M-587,52.67,2.92,121.22,10.05,103.78,0,86.93,122.59,95.6,0
Seat Belt,M-576,70.58,2.5,125.06,34.77,173.12,0,50.87,224.45,94.22,0
Airbag,M-324,36.25,2.93,165.9,6.9,89.62,0,27.45,105.56,90.73,0
Airbag,M-981,92.56,1.42,93.83,46.45,106.56,5,78.53,150.86,82.53,1
Steering,M-701,81.91,2.28,210.04,16.32,149.37,3,59.12,162.83,83.07,0
Airbag,M-857,30.64,1.02,159.21,24.87,56.98,0,88.54,110.95,91.4,0
Airbag,M-220,84.73,4.73,164.33,33.92,120.4,3,44.96,200.35,93.14,1
Seat Belt,M-770,52.98,0.91,199.61,39.67,139.53,0,50.33,115.13,95.71,0
Steering,M-773,40.58,3.42,119.78,20.12,54.99,3,55.08,118.63,94.91,0
Seat Belt,M-808,33.26,2.49,241.29,14.78,179.6,0,23.95,346.49,95.27,0
Occupant Safety,M-331,76.0,2.86,235.55,10.63,97.21,0,38.42,383.8,95.16,0
Occupant Safety,M-356,73.49,3.58,102.13,46.09,165.97,4,54.03,85.46,83.24,0
Seat Belt,M-411,49.88,1.27,180.71,42.17,72.17,3,33.76,313.7,93.31,0
Airbag,M-880,93.31,4.95,145.85,18.57,77.79,6,30.52,131.27,98.11,2
Airbag,M-396,77.64,4.73,127.36,31.03,148.05,2,74.62,115.75,94.72,0
Occupant Safety,M-949,46.56,2.65,175.81,45.08,147.04,3,20.13,384.43,83.08,0
Airbag,M-493,97.6,0.33,188.46,19.72,157.64,1,52.99,267.46,87.26,0
Occupant Safety,M-741,98.68,3.28,131.32,16.59,128.42,5,65.09,342.72,92.15,0
Occupant Safety,M-465,57.38,2.65,124.57,15.54,116.21,0,68.06,181.34,84.02,0
Occupant Safety,M-839,35.92,0.91,208.51,34.9,175.27,0,86.05,360.49,99.44,0
Occupant Safety,M-142,30.86,4.04,65.0,6.19,158.58,2,55.89,304.42,88.5,0
Airbag,M-448,85.98,1.18,95.22,15.08,198.04,1,23.81,115.23,93.5,0
Airbag,M-524,82.74,3.34,139.18,34.37,130.23,5,77.1,97.18,99.9,0
Occupant Safety,M-310,43.3,4.87,96.22,19.29,61.27,1,26.27,195.97,83.72,0
Seat Belt,M-286,47.0,3.66,79.9,48.99,108.87,6,67.71,368.47,91.48,1
Occupant Safety,M-506,88.44,4.39,233.94,24.85,85.25,5,21.42,75.94,92.67,1
Airbag,M-345,77.58,4.5,67.87,27.75,152.81,1,47.16,214.06,83.89,0
Steering,M-999,94.41,0.83,207.12,48.58,129.82,6,55.72,298.12,86.26,2
Occupant Safety,M-781,37.79,2.15,232.75,9.89,50.53,0,44.01,305.1,90.75,0
Seat Belt,M-923,28.04,1.52,52.52,19.6,62.5,0,81.41,256.97,82.17,0
Airbag,M-413,65.17,0.86,133.64,27.63,170.1,0,85.95,108.56,85.24,0
Steering,M-242,44.48,2.55,196.73,35.65,79.96,0,23.0,62.23,82.12,0
Airbag,M-806,73.21,3.11,126.88,30.67,73.0,1,88.95,296.16,85.88,0
Airbag,M-269,91.08,1.11,84.96,6.62,72.83,3,80.82,342.01,99.13,0
Occupant Safety,M-811,87.38,4.22,146.79,32.33,167.36,5,24.39,191.5,93.37,1
Seat Belt,M-864,83.74,1.01,217.04,36.61,192.28,2,49.8,355.62,89.75,0
Airbag,M-133,54.82,3.4,54.15,38.81,53.99,1,57.72,72.55,80.19,0
Steering,M-469,36.37,2.16,174.42,6.83,196.05,0,34.88,355.88,91.9,0
Steering,M-627,69.33,0.11,101.69,11.01,151.5,0,66.42,337.42,84.56,0
Airbag,M-865,92.03,0.18,75.11,45.23,92.24,5,29.33,241.72,81.07,1
Occupant Safety,M-991,78.88,1.92,100.93,44.67,91.84,1,40.73,305.64,88.3,0
Airbag,M-251,97.56,1.71,182.08,37.42,187.52,1,43.19,196.61,93.92,0
Seat Belt,M-489,84.29,0.22,117.26,37.31,96.9,3,31.54,299.94,87.47,0
Steering,M-257,43.36,4.34,102.38,29.56,136.14,2,81.05,395.57,80.65,0
Steering,M-888,52.42,2.17,196.8,25.17,117.4,0,70.92,106.2,82.21,0
Steering,M-729,80.34,0.43,244.16,21.52,160.04,3,79.02,239.97,97.53,0
Occupant Safety,M-866,79.77,4.8,175.23,45.78,163.36,7,51.11,173.83,98.72,2
Steering,M-985,49.39,1.3,120.58,46.03,137.12,2,82.05,239.94,84.71,0
Airbag,M-248,99.07,4.5,216.45,48.2,162.77,8,86.16,207.98,92.39,2
Seat Belt,M-964,45.78,2.79,54.69,11.99,140.17,0,85.03,205.89,98.33,0
Steering,M-601,90.23,0.74,96.26,15.38,55.58,3,70.37,94.15,84.54,0
Airbag,M-634,73.31,0.87,57.76,20.59,81.94,0,49.62,72.01,98.24,0
Occupant Safety,M-495,80.95,4.84,100.28,32.28,136.79,6,22.43,289.94,85.13,2
Seat Belt,M-233,64.14,3.49,145.77,30.69,160.87,4,41.37,143.94,89.35,0
Occupant Safety,M-945,56.9,4.7,83.3,38.91,143.33,2,34.9,130.43,95.68,0
Airbag,M-387,58.09,3.39,172.86,33.56,84.43,2,77.55,197.05,99.43,0
Seat Belt,M-187,69.65,4.07,61.41,25.36,193.66,4,51.55,156.15,92.31,0
Occupant Safety,M-293,81.28,0.54,92.18,43.56,97.18,4,36.61,365.19,95.05,1
Airbag,M-997,82.01,2.61,112.2,32.0,83.53,3,22.61,386.03,94.85,0
Seat Belt,M-788,46.49,3.47,62.55,30.86,73.26,4,74.37,218.81,97.65,0
Airbag,M-210,54.18,3.85,63.75,27.15,77.52,2,71.93,326.4,81.63,0
Seat Belt,M-530,52.24,3.72,54.22,15.08,125.73,3,42.53,280.51,87.49,0
Steering,M-527,30.06,0.18,152.62,14.57,159.69,0,66.46,197.39,96.37,0
Airbag,M-605,95.56,3.31,138.4,13.03,95.59,3,77.56,208.4,85.88,0
Airbag,M-129,41.78,4.43,244.94,25.84,190.49,4,87.9,169.04,91.74,0
Steering,M-734,52.68,2.91,80.36,22.05,166.88,0,65.01,105.86,82.49,0
Seat Belt,M-551,48.53,4.86,86.63,21.14,127.68,1,35.57,222.79,86.87,0
Airbag,M-489,44.41,3.88,76.94,26.35,182.5,4,76.34,249.88,98.76,0
Steering,M-129,75.37,3.33,56.2,25.75,167.71,4,82.22,278.72,83.69,0
Airbag,M-119,77.79,0.31,70.37,18.88,95.29,0,38.75,162.52,98.88,0
Steering,M-581,34.95,4.9,146.82,20.31,157.1,1,83.46,318.97,93.98,0
Steering,M-148,97.11,2.47,57.04,13.83,136.91,3,41.93,238.77,92.8,0
Seat Belt,M-584,87.31,1.54,198.02,24.12,52.05,3,56.53,88.09,97.5,0
Seat Belt,M-361,27.31,2.41,134.19,11.41,199.71,0,40.75,268.85,91.32,0
Seat Belt,M-561,49.98,3.0,55.39,14.91,181.56,0,40.61,276.79,94.78,0
Steering,M-484,30.68,0.32,239.72,28.15,165.15,0,46.41,144.66,81.44,0
Steering,M-805,27.87,2.53,88.9,13.98,154.55,0,87.82,206.05,99.26,0
Seat Belt,M-679,63.76,0.88,94.76,39.07,79.35,0,47.07,269.28,97.56,0
Occupant Safety,M-454,88.31,0.37,98.81,23.97,164.09,2,75.45,82.73,83.83,0
Occupant Safety,M-500,91.32,0.82,75.87,7.7,82.21,2,86.15,154.41,83.91,0
Airbag,M-479,57.36,1.64,188.39,16.17,169.13,0,27.56,119.04,86.1,0
Airbag,M-230,43.94,0.74,94.3,42.66,138.11,1,81.3,97.87,84.14,0
Airbag,M-280,43.48,2.65,163.78,49.5,110.09,1,87.71,201.4,91.1,0
Seat Belt,M-193,81.82,4.68,64.84,42.89,64.32,5,77.77,248.83,86.74,2
Seat Belt,M-971,68.14,4.45,133.06,42.71,83.0,3,32.0,107.87,98.48,1
Steering,M-175,56.14,4.98,223.06,29.63,110.45,4,56.76,300.55,85.98,0
Airbag,M-987,58.61,2.7,118.69,37.64,114.06,0,82.78,362.82,97.79,0
Airbag,M-836,55.1,4.18,174.62,36.02,54.34,1,49.02,318.56,88.11,0
Seat Belt,M-881,50.97,4.79,80.81,9.13,99.38,3,42.7,150.5,93.96,0
Airbag,M-179,65.18,3.93,98.95,26.99,153.42,1,38.24,293.2,81.67,0
Seat Belt,M-759,63.47,4.13,115.7,47.49,144.3,4,45.59,146.39,81.46,1
Occupant Safety,M-657,96.89,3.23,77.19,28.11,70.79,7,71.93,137.63,87.49,1
Airbag,M-241,27.73,2.0,228.71,32.34,177.7,0,89.46,276.74,82.39,0
Seat Belt,M-550,92.13,2.74,211.94,38.54,134.6,2,62.54,327.5,99.85,0
Airbag,M-864,48.46,3.67,209.18,49.03,57.54,5,50.12,371.49,89.95,0
Steering,M-757,33.86,4.77,190.34,25.79,87.84,3,21.48,90.74,94.12,0
Airbag,M-837,33.83,4.74,164.26,33.24,93.9,2,48.64,353.36,92.03,0
Seat Belt,M-667,88.45,4.12,230.32,48.17,61.84,7,88.48,169.48,83.67,2
Seat Belt,M-599,56.56,0.88,155.61,37.33,90.46,0,61.11,370.61,81.02,0
Seat Belt,M-719,33.06,4.71,138.18,19.19,136.62,3,27.44,63.58,83.67,0
Seat Belt,M-150,41.9,4.39,107.09,5.34,99.96,1,25.41,137.28,96.41,0
Occupant Safety,M-609,98.76,3.86,145.08,36.09,143.18,4,44.89,262.01,94.05,0
Airbag,M-121,95.07,4.5,147.16,41.72,124.39,6,68.77,231.5,81.57,2
Airbag,M-130,33.53,1.85,242.14,36.94,51.87,0,29.43,219.75,80.49,0
Occupant Safety,M-403,45.05,2.07,81.25,30.38,101.86,0,39.35,233.24,97.91,0
Airbag,M-487,84.58,1.7,238.48,21.08,123.71,2,60.63,113.9,91.25,0
Airbag,M-928,51.97,2.45,106.23,13.39,123.86,0,79.87,348.73,92.09,0
Steering,M-139,89.88,4.01,154.87,35.16,91.7,3,39.2,296.56,95.04,1
Seat Belt,M-534,68.35,2.29,230.95,6.01,142.89,0,59.39,294.45,90.39,0
Seat Belt,M-227,30.51,1.61,166.25,37.31,163.39,0,33.57,342.17,84.59,0
