component_type,machine_id,temperature,vibration,pressure,motor_current,production_speed,defect_count,humidity,torque,sensor_accuracy,risk_level
Airbag,AB-106,70.95,2.1,193.06,26.54,98.78,0,41.43,148.71,93.79,0
Steering,ST-110,70.82,1.96,171.69,42.24,75.92,1,74.01,320.41,90.57,0
Steering,ST-114,46.91,1.93,162.34,26.4,118.59,0,51.38,263.26,92.64,0
Steering,ST-101,45.06,1.15,156.78,39.05,92.71,0,47.67,331.59,96.83,0
Occupant Safety,OS-105,61.08,3.33,159.8,34.37,75.8,5,78.34,138.73,95.76,1
Occupant Safety,OS-117,42.97,2.99,132.77,24.89,86.84,3,76.07,160.79,90.66,0
Steering,ST-109,72.7,2.47,115.41,36.55,59.13,0,62.23,384.28,92.09,0
Seat Belt,SB-121,51.29,1.24,93.54,11.82,145.65,0,36.08,85.03,94.61,0
Airbag,AB-117,44.59,1.68,214.42,25.42,80.31,0,37.59,192.58,93.42,0
Seat Belt,SB-119,59.74,2.15,119.9,10.55,86.84,0,33.15,94.8,92.65,1
Seat Belt,SB-113,52.32,1.65,90.52,18.73,145.33,0,63.04,128.19,92.03,0
Occupant Safety,OS-112,68.68,2.3,117.34,18.22,105.8,3,74.34,127.45,90.41,0
Steering,ST-117,70.48,3.77,100.37,29.7,103.33,4,41.62,285.8,97.41,0
Occupant Safety,OS-124,69.1,1.05,112.73,20.2,73.54,1,73.92,216.04,85.32,1
Occupant Safety,OS-107,44.71,1.17,136.92,20.92,98.5,2,35.01,197.59,88.09,0
Airbag,AB-119,64.77,2.58,256.42,20.09,117.01,0,58.8,183.17,93.34,0
Occupant Safety,OS-105,67.68,2.98,137.73,32.75,65.04,0,61.49,177.59,94.87,0
Steering,ST-109,84.4,3.54,178.24,25.35,83.41,3,57.79,268.38,91.48,0
Occupant Safety,OS-105,54.36,1.88,105.92,17.09,122.78,1,74.09,234.53,85.97,1
Airbag,AB-102,71.72,1.39,224.47,18.76,103.12,0,47.23,129.24,97.94,0
Steering,ST-118,75.07,3.52,128.81,43.67,86.35,6,54.09,351.47,96.36,2
Airbag,AB-121,61.66,2.57,190.49,29.61,88.28,0,35.91,184.72,91.68,0
Airbag,AB-125,72.59,1.7,239.28,15.35,115.63,0,59.13,215.27,94.42,0
Occupant Safety,OS-125,47.93,2.58,109.32,20.25,128.4,3,67.47,207.21,86.07,1
Steering,ST-109,70.94,1.65,150.31,33.17,109.42,0,43.54,310.81,90.33,0
Steering,ST-123,58.19,3.81,152.85,31.28,107.94,1,49.78,307.16,98.85,0
Occupant Safety,OS-113,58.1,2.22,123.36,21.14,134.87,2,72.08,171.02,93.08,0
Steering,ST-119,60.41,1.55,175.83,44.4,114.01,3,64.77,298.07,97.67,0
Steering,ST-123,66.9,1.19,120.85,41.18,117.33,1,47.68,391.0,99.41,1
Occupant Safety,OS-104,38.95,1.43,145.92,19.91,78.06,1,40.45,191.52,96.45,0
Seat Belt,SB-121,38.22,1.55,88.08,12.3,118.45,0,53.5,90.77,96.76,0
Seat Belt,SB-115,55.91,0.73,99.81,10.09,170.77,0,32.06,117.93,98.0,0
Seat Belt,SB-101,44.9,0.62,92.21,11.86,154.79,0,59.53,134.24,99.69,0
Seat Belt,SB-121,33.0,2.23,102.45,14.28,178.52,0,47.77,91.95,99.26,0
Seat Belt,SB-107,35.28,0.89,83.06,22.47,107.25,0,35.95,87.8,96.43,0
Steering,ST-112,82.6,2.98,124.81,33.41,81.11,3,63.74,376.25,93.1,0
Seat Belt,SB-116,52.17,1.69,114.24,20.82,99.73,0,39.39,83.95,94.99,0
Airbag,AB-106,47.17,1.35,235.18,23.42,131.85,0,37.71,215.36,92.21,0
Steering,ST-103,62.28,2.79,167.99,36.41,103.62,0,35.82,306.97,98.53,0
Steering,ST-112,72.29,2.27,166.46,32.92,99.16,0,48.69,374.75,90.97,0
Airbag,AB-124,41.41,2.65,239.81,22.86,72.59,0,31.09,183.04,92.26,0
Seat Belt,SB-114,46.02,0.58,83.97,14.86,117.99,0,58.69,92.03,92.67,0
Airbag,AB-120,58.59,2.56,212.41,24.13,72.51,0,63.51,146.03,98.01,0
Seat Belt,SB-121,59.05,0.64,118.93,12.3,101.88,0,59.94,145.69,99.68,0
Airbag,AB-108,71.04,2.34,229.21,28.89,70.71,0,42.54,140.05,95.18,0
Occupant Safety,OS-106,56.37,3.05,94.38,16.24,93.42,6,51.06,243.96,95.74,1
Seat Belt,SB-116,50.24,1.59,119.82,16.23,150.54,0,39.08,114.13,94.92,0
Occupant Safety,OS-108,63.8,1.89,93.18,27.34,139.18,0,72.72,184.47,92.06,0
Steering,ST-113,46.67,2.54,134.71,26.96,98.31,0,73.15,392.29,94.92,0
Occupant Safety,OS-121,67.79,2.69,145.51,25.82,71.68,1,75.68,219.83,91.28,0
Airbag,AB-118,53.29,2.45,181.84,26.97,106.07,0,52.96,198.47,95.15,0
Airbag,AB-113,47.97,1.59,252.2,25.88,111.37,0,30.53,130.34,93.92,0
Airbag,AB-124,71.93,1.11,205.78,23.95,148.06,0,69.89,130.05,94.92,0
Occupant Safety,OS-108,49.09,3.04,102.78,20.08,139.83,6,55.07,173.85,99.46,1
Airbag,AB-114,70.19,1.33,259.78,22.1,91.13,0,54.66,219.6,90.48,0
Occupant Safety,OS-120,50.09,1.11,95.21,29.82,67.21,0,71.69,164.65,85.37,1
Seat Belt,SB-104,48.0,1.47,95.23,13.85,151.44,0,56.69,119.78,93.78,0
Seat Belt,SB-117,57.62,0.68,114.54,13.65,113.86,0,61.37,124.17,96.81,0
Steering,ST-113,65.69,2.33,110.86,34.95,54.97,0,69.05,388.9,89.75,1
Occupant Safety,OS-115,37.88,3.24,103.65,22.86,122.79,3,53.87,137.57,95.88,0
Seat Belt,SB-119,34.18,0.98,97.11,15.25,87.56,0,69.23,125.1,93.83,0
Seat Belt,SB-114,34.34,1.2,100.64,15.77,155.77,0,56.34,83.29,93.47,0
Airbag,AB-104,41.99,1.78,270.23,15.12,81.37,0,74.52,165.22,92.98,0
Steering,ST-113,50.08,2.9,101.88,41.05,62.09,3,31.44,300.68,96.14,0
Occupant Safety,OS-120,55.4,1.62,154.33,19.47,99.61,1,68.95,134.98,96.64,0
Seat Belt,SB-108,42.23,0.9,117.63,24.38,158.76,0,49.86,110.97,93.16,0
Seat Belt,SB-102,45.01,1.24,99.13,21.73,95.95,0,36.56,80.14,95.97,0
Seat Belt,SB-123,49.52,1.38,117.24,15.03,134.28,0,31.87,91.59,94.89,0
Occupant Safety,OS-113,46.49,1.22,122.63,26.27,87.33,1,40.99,190.12,91.99,0
Airbag,AB-118,53.01,1.19,215.13,16.4,149.72,0,47.35,160.83,94.86,0
Occupant Safety,OS-118,63.32,3.0,116.61,30.45,103.96,2,62.33,224.54,91.57,0
Steering,ST-119,63.61,1.31,135.35,40.19,87.43,1,68.29,263.02,98.65,0
Steering,ST-113,60.03,3.51,116.35,27.11,53.0,4,37.57,268.72,95.31,0
Airbag,AB-109,52.03,2.28,188.92,28.62,60.39,0,73.84,201.66,98.64,0
Occupant Safety,OS-122,60.31,2.97,144.54,23.23,79.48,2,47.11,216.5,90.73,0
Seat Belt,SB-121,53.98,0.76,102.83,13.08,89.94,0,56.97,107.33,96.07,0
Occupant Safety,OS-121,40.39,2.49,158.44,18.99,69.31,3,66.01,129.34,93.01,0
Steering,ST-101,55.4,1.6,101.49,29.9,79.21,0,35.63,282.44,89.53,0
Steering,ST-125,59.13,3.53,102.55,33.53,113.1,3,63.22,327.74,91.43,0
Occupant Safety,OS-108,51.69,2.11,108.21,27.6,64.54,1,39.25,195.23,90.32,0
Airbag,AB-123,62.46,2.6,232.67,19.17,123.42,0,58.25,134.33,93.7,0
Seat Belt,SB-120,37.55,1.13,95.14,10.71,92.75,0,45.52,135.7,98.89,0
Airbag,AB-114,71.1,1.78,221.74,24.06,67.94,0,65.33,125.05,92.89,0
Occupant Safety,OS-121,64.33,3.43,123.08,21.57,79.29,6,54.55,209.45,93.98,1
Airbag,AB-103,65.82,1.49,283.12,24.03,82.54,0,71.7,166.38,99.44,0
Airbag,AB-123,68.97,1.72,187.14,15.55,69.88,0,65.21,155.67,95.33,0
Occupant Safety,OS-105,49.41,2.03,149.48,20.14,96.69,1,68.47,165.27,93.07,0
Airbag,AB-124,62.99,1.45,188.12,20.38,110.55,0,67.14,132.08,99.57,0
Seat Belt,SB-102,50.82,1.83,91.15,13.49,127.58,0,65.5,129.48,98.62,0
Seat Belt,SB-101,34.42,1.05,80.48,10.04,112.46,0,55.0,132.97,93.71,0
Steering,ST-122,69.7,2.08,100.86,21.79,65.78,0,47.84,290.66,91.95,0
Seat Belt,SB-109,32.93,2.39,114.99,11.01,125.88,0,34.17,85.51,94.43,0
Airbag,AB-121,42.19,1.77,222.28,24.08,142.51,0,70.01,209.3,99.99,0
Seat Belt,SB-108,45.79,0.94,117.68,23.19,147.11,0,56.08,136.71,93.07,0
Steering,ST-104,74.94,3.09,130.71,38.41,111.73,3,37.21,276.13,99.01,0
Occupant Safety,OS-101,46.46,2.53,139.65,27.14,123.0,0,79.53,243.62,86.14,1
Airbag,AB-108,66.9,2.43,250.78,20.59,72.29,0,32.27,155.99,95.84,0
Seat Belt,SB-113,58.08,1.45,95.5,21.23,167.41,0,49.45,126.91,98.13,0
Seat Belt,SB-101,43.78,1.89,103.57,21.21,155.71,0,31.23,125.99,92.64,0
Occupant Safety,OS-122,64.43,3.42,149.66,18.58,100.1,4,77.34,232.98,87.4,1
Seat Belt,SB-112,32.63,2.1,103.37,20.81,163.55,0,59.94,124.49,95.17,0
Airbag,AB-124,45.52,2.16,268.94,27.36,81.47,0,73.53,201.82,98.15,0
Steering,ST-115,62.57,1.95,148.97,43.12,91.7,1,71.63,368.46,91.81,1
Airbag,AB-105,62.38,1.21,253.26,17.54,99.69,0,44.49,170.98,97.36,0
Seat Belt,SB-124,32.23,2.0,110.39,21.0,149.93,0,67.55,131.58,92.17,0
Seat Belt,SB-105,41.6,0.56,105.84,11.45,134.62,0,43.31,145.67,96.98,0
Seat Belt,SB-103,48.77,0.92,112.85,22.83,103.98,0,34.24,100.93,95.74,0
Steering,ST-114,80.7,1.04,143.6,31.95,98.21,2,45.27,375.82,98.07,0
Airbag,AB-116,43.77,1.66,183.01,27.26,97.6,0,37.79,190.52,98.94,0
Airbag,AB-121,54.09,2.91,268.83,23.59,142.77,0,59.84,209.33,97.66,0
Airbag,AB-116,70.69,1.79,205.54,22.83,101.34,0,67.48,202.43,90.03,0
Airbag,AB-102,59.43,1.95,254.97,15.03,125.33,0,48.96,157.87,90.63,0
Steering,ST-107,45.2,2.37,178.54,44.43,70.83,2,40.06,399.69,90.65,1
Steering,ST-102,49.31,1.17,122.75,30.84,87.85,0,42.9,285.7,98.88,0
Occupant Safety,OS-106,52.04,3.28,103.25,31.63,73.61,2,56.66,126.56,98.45,0
Occupant Safety,OS-117,60.51,2.38,138.53,24.66,96.55,0,59.2,154.7,91.47,0
Steering,ST-104,72.78,3.76,177.97,24.14,111.04,2,62.34,254.71,98.2,0
Airbag,AB-115,72.62,1.08,210.87,22.31,141.57,0,67.4,154.0,98.31,0
Seat Belt,SB-112,31.48,1.81,109.65,12.02,171.82,0,30.89,97.93,97.61,0
Steering,ST-102,45.69,2.14,117.96,21.65,84.64,0,47.94,373.84,91.54,0
Airbag,AB-117,56.03,2.32,185.94,17.85,143.14,0,48.74,151.16,94.2,0
Steering,ST-102,66.17,3.75,122.75,40.1,107.29,5,47.3,311.48,98.23,0
Occupant Safety,OS-105,40.29,1.25,111.66,26.17,62.28,3,50.69,179.64,92.46,0
Seat Belt,SB-116,58.74,2.04,107.86,10.59,138.14,0,54.07,96.17,97.61,1
Airbag,AB-125,48.12,2.27,259.08,26.01,115.01,0,63.96,177.44,92.18,0
Seat Belt,SB-121,53.08,0.94,81.73,17.4,122.4,0,37.06,101.63,96.13,0
Occupant Safety,OS-117,57.53,2.86,135.25,19.51,78.57,1,71.89,169.74,91.53,0
Airbag,AB-116,70.19,2.65,290.28,21.21,78.75,0,38.77,152.24,98.46,1
Occupant Safety,OS-113,58.43,1.65,101.02,24.13,137.96,0,33.37,154.31,90.5,0
Seat Belt,SB-114,35.62,1.58,113.43,14.25,152.5,0,34.94,107.96,92.12,0
Seat Belt,SB-106,31.17,1.06,82.14,21.19,116.53,0,67.27,106.05,96.14,0
Airbag,AB-111,50.0,2.28,203.04,17.57,105.55,0,60.89,207.89,91.47,0
Airbag,AB-122,57.24,1.96,207.57,20.71,138.41,0,64.08,151.85,97.84,0
Airbag,AB-123,51.53,2.04,237.37,18.52,96.6,0,64.39,130.88,90.26,0
Occupant Safety,OS-106,57.97,2.74,141.68,17.93,62.45,1,41.46,213.7,86.08,1
Occupant Safety,OS-106,54.27,2.89,145.93,29.36,74.67,3,73.73,217.09,89.58,0
Occupant Safety,OS-112,50.91,1.09,120.94,19.98,108.19,1,68.11,164.24,88.39,0
Seat Belt,SB-110,49.99,0.62,103.82,12.84,111.58,0,42.28,106.23,99.16,0
Seat Belt,SB-117,37.98,2.02,115.65,22.61,137.89,0,69.0,111.65,97.16,0
Steering,ST-109,76.62,2.9,152.74,29.99,85.47,2,75.45,360.25,99.15,0
Occupant Safety,OS-104,69.46,3.15,99.62,20.59,72.82,5,51.59,183.55,98.55,1
Occupant Safety,OS-101,59.42,2.57,143.83,22.33,107.81,1,47.29,197.82,91.55,0
Occupant Safety,OS-120,35.04,1.63,116.01,17.49,67.11,3,72.93,124.53,89.18,0
Airbag,AB-106,62.12,1.71,285.79,24.61,107.56,0,61.13,137.81,91.56,0
Steering,ST-121,46.18,2.77,176.43,34.55,59.04,0,66.01,256.56,91.24,0
Seat Belt,SB-119,42.04,1.65,90.08,16.92,174.79,0,52.67,148.16,97.09,0
Seat Belt,SB-109,51.52,2.28,104.79,11.96,100.4,0,61.51,117.4,99.1,0
Airbag,AB-101,46.43,1.52,274.94,20.23,138.25,0,73.27,163.69,99.46,0
Steering,ST-111,70.47,1.07,114.73,23.77,58.54,0,33.27,378.19,88.22,1
Seat Belt,SB-125,55.91,1.63,94.21,20.4,85.47,0,64.99,82.24,92.9,0
Seat Belt,SB-109,59.33,1.01,109.02,24.52,117.85,0,56.0,132.48,92.28,0
Seat Belt,SB-107,49.99,0.58,98.69,20.51,153.89,0,67.43,115.06,92.23,0
Occupant Safety,OS-106,51.54,2.13,132.7,25.88,134.98,3,78.84,149.64,98.34,0
Occupant Safety,OS-101,53.43,2.72,129.05,32.15,92.37,1,48.46,185.79,90.66,0
Seat Belt,SB-110,55.19,2.46,119.37,24.92,175.45,0,35.08,133.65,92.33,1
Seat Belt,SB-125,46.75,2.02,113.44,17.06,111.82,0,33.64,145.99,98.53,0
Steering,ST-121,57.49,3.5,140.56,39.35,100.67,4,52.48,347.03,89.54,0
Seat Belt,SB-103,33.62,1.94,97.7,17.06,166.43,0,45.06,121.48,98.67,0
Seat Belt,SB-103,47.73,1.66,110.85,23.5,114.35,0,42.14,102.73,94.15,0
Airbag,AB-108,47.33,1.89,262.6,28.44,65.53,0,59.4,215.81,96.51,0
Steering,ST-121,83.23,2.86,149.07,40.72,75.95,4,71.39,306.01,98.1,0
Seat Belt,SB-114,50.89,2.09,81.64,14.11,141.03,0,50.81,90.91,97.53,0
Occupant Safety,OS-106,58.63,1.76,100.4,29.52,134.24,2,67.86,222.71,85.04,1
Occupant Safety,OS-110,62.77,1.59,96.22,26.4,118.06,2,71.9,166.93,94.28,0
Steering,ST-114,79.55,3.09,101.92,37.5,93.68,6,63.96,346.0,92.01,0
Airbag,AB-121,57.19,2.34,215.8,16.71,131.69,0,43.82,185.97,99.25,0
Steering,ST-114,53.98,1.25,133.2,34.43,72.84,0,57.42,321.46,88.25,0
Occupant Safety,OS-112,57.83,3.39,106.59,31.13,87.87,6,51.95,172.41,89.86,2
Seat Belt,SB-105,49.49,0.67,98.31,19.35,112.7,0,36.6,129.2,97.66,0
Steering,ST-106,65.51,3.68,175.84,33.93,65.73,1,35.71,256.18,94.66,0
Seat Belt,SB-112,34.6,2.12,116.83,15.15,173.77,0,53.65,138.82,92.66,0
